"number","district","region","category_name","zap","np","pp","zak","mon","dpbg","max","zap_is_max","np_is_max","pp_is_max","zak_is_max","mon_is_max","dpbg_is_max","none_is_max","max_fcat_names","category_level"
243,8,53,"зоологический_парк",0.78,0.67,0.56,0.61,0.56,0.61,0.78,1,0,0,0,0,0,0,"zap",1
244,8,53,"природная_территория",0.56,0.67,0.89,0.78,0.5,0.44,0.89,0,0,1,0,0,0,0,"pp",2
245,8,53,"природная_достопримечательность",0.61,0.5,0.5,0.72,0.72,0.61,0.72,0,0,0,1,1,0,0,"zak+mon",2
246,8,54,"прибрежный_природный_комплекс",0.67,0.56,0.67,0.83,0.61,0.44,0.83,0,0,0,1,0,0,0,"zak",1
247,8,54,"лиманно-плавневый_комплекс",0.78,0.44,0.67,0.83,0.61,0.67,0.83,0,0,0,1,0,0,0,"zak",1
248,8,54,"природно-рекреационная_зона",0.61,0.61,0.94,0.72,0.56,0.5,0.94,0,0,1,0,0,0,0,"pp",3
249,8,54,"природная_достопримечательность",0.67,0.56,0.44,0.67,0.67,0.67,0.67,0,0,0,0,0,0,1,"none",2
250,8,55,"водно-болотное_угодье",0.56,0.44,0.44,0.83,0.56,0.56,0.83,0,0,0,1,0,0,0,"zak",1
251,8,55,"природная_заповедная_территория",0.61,0.28,0.61,0.89,0.61,0.61,0.89,0,0,0,1,0,0,0,"zak",3
252,8,55,"нерестовый_массив",0.5,0.39,0.5,0.89,0.61,0.5,0.89,0,0,0,1,0,0,0,"zak",3
253,8,55,"парк",0.61,0.83,0.72,0.67,0.5,0.39,0.83,0,1,0,0,0,0,0,"np",2
254,8,55,"охраняемая_береговая_линия",0.56,0.44,0.44,0.83,0.56,0.56,0.83,0,0,0,1,0,0,0,"zak",2
255,8,55,"охраняемая_речная_система",0.56,0.44,0.44,0.83,0.56,0.56,0.83,0,0,0,1,0,0,0,"zak",2
256,8,55,"охраняемый_природный_ландшафт",0.61,0.5,0.5,0.83,0.61,0.56,0.83,0,0,0,1,0,0,0,"zak",2
257,8,55,"биологическая_станция",0.78,0.56,0.56,0.61,0.56,0.44,0.78,1,0,0,0,0,0,0,"zap",2
258,8,55,"охраняемый_природный_объект",0.5,0.39,0.5,0.78,0.72,0.56,0.78,0,0,0,1,0,0,0,"zak",2
259,8,56,"охраняемый_ландшафт",0.78,0.67,0.78,0.72,0.56,0.67,0.78,1,0,1,0,0,0,0,"zap+pp",3
260,8,56,"территория_представляющая_особую_ценность_для_сохранения_объектов_животного_и_растительного_мира_внесённых_в_Красную_книгу_Волгоградской_области",0.89,0.56,0.67,0.72,0.5,0.67,0.89,1,0,0,0,0,0,0,"zap",1
261,8,56,"природная_достопримечательность",0.44,0.56,0.67,0.72,0.78,0.56,0.78,0,0,0,0,1,0,0,"mon",2
262,8,57,"охраняемый_ландшафт",0.78,0.56,0.67,0.78,0.61,0.78,0.78,1,0,0,1,0,1,0,"zap+zak+dpbg",1
263,8,57,"охраняемый_природный_объект",0.72,0.5,0.39,0.61,0.67,0.61,0.72,1,0,0,0,0,0,0,"zap",1
264,8,57,"охраняемый_объект",0.72,0.5,0.83,0.78,0.56,0.5,0.83,0,0,1,0,0,0,0,"pp",2
266,8,58,"прибрежный_природный_комплекс",0.67,0.44,0.67,0.94,0.61,0.56,0.94,0,0,0,1,0,0,0,"zak",1
267,8,58,"ландшафтно-рекреационный_парк",0.5,0.72,0.72,0.61,0.67,0.5,0.72,0,1,1,0,0,0,0,"np+pp",1
268,8,58,"парк-памятник_садово-паркового_искусства",0.44,0.67,0.67,0.56,0.61,0.56,0.67,0,0,0,0,0,0,1,"none",1
