"number","district","region","category_name","zap","np","pp","zak","mon","dpbg","max","zap_is_max","np_is_max","pp_is_max","zak_is_max","mon_is_max","dpbg_is_max","none_is_max","max_fcat_names","category_level"
59,2,13,"зелёная_зона",0.39,0.5,0.83,0.78,0.44,0.39,0.83,0,0,1,0,0,0,0,"pp",3
60,2,13,"охраняемый_водный_объект",0.61,0.5,0.61,0.83,0.61,0.44,0.83,0,0,0,1,0,0,0,"zak",3
61,2,13,"водоохранная_зона",0.5,0.5,0.61,0.89,0.67,0.44,0.89,0,0,0,1,0,0,0,"zak",1
62,2,13,"охраняемый_долинный_комплекс",0.67,0.44,0.56,0.78,0.39,0.5,0.78,0,0,0,1,0,0,0,"zak",2
63,2,13,"городской_парк_и_городской_лес",0.5,0.5,0.94,0.72,0.56,0.5,0.94,0,0,1,0,0,0,0,"pp",2
66,2,15,"охраняемый_природный_ландшафт",0.67,0.44,0.44,0.83,0.44,0.67,0.83,0,0,0,1,0,0,0,"zak",3
67,2,15,"полигон_долгосрочного_экологического_мониторинга",0.67,0.44,0.56,0.61,0.67,0.67,0.67,0,0,0,0,0,0,1,"none",3
68,2,15,"территория_рекреационного_назначения",0.33,0.78,0.67,0.72,0.56,0.33,0.78,0,1,0,0,0,0,0,"np",3
69,2,15,"природный_ландшафтный_комплекс",0.67,0.67,0.78,0.78,0.44,0.44,0.78,0,0,1,1,0,0,0,"pp+zak",2
70,2,15,"ООПТ_историко-культурного_значения",0.44,0.67,0.67,0.5,0.56,0.44,0.67,0,0,0,0,0,0,1,"none",2
71,2,15,"ООПТ_рекреационного_значения",0.5,0.61,0.72,0.56,0.5,0.44,0.72,0,0,1,0,0,0,0,"pp",2
72,2,15,"ресурсоохранная_территория",0.44,0.5,0.89,0.78,0.5,0.33,0.89,0,0,1,0,0,0,0,"pp",3
73,2,16,"природный_рекреационный_комплекс",0.5,0.61,0.72,0.67,0.39,0.44,0.72,0,0,1,0,0,0,0,"pp",3
74,2,16,"заповедный_участок",0.61,0.39,0.61,0.83,0.56,0.61,0.83,0,0,0,1,0,0,0,"zak",1
75,2,16,"охраняемый_природный_комплекс_(объект)",0.61,0.72,0.5,0.67,0.56,0.5,0.72,0,1,0,0,0,0,0,"np",2
76,2,16,"охраняемая_садово-парковая_территория",0.61,0.61,0.83,0.61,0.44,0.5,0.83,0,0,1,0,0,0,0,"pp",2
77,3,17,"лесной_парк",0.67,0.67,0.78,0.78,0.5,0.56,0.78,0,0,1,1,0,0,0,"pp+zak",1
78,3,17,"охраняемый_природный_ландшафт",0.56,0.78,0.67,0.72,0.67,0.5,0.78,0,1,0,0,0,0,0,"np",2
79,3,17,"памятник_ландшафтной_архитектуры",0.39,0.61,0.61,0.67,0.61,0.5,0.67,0,0,0,0,0,0,1,"none",2
80,3,17,"городской_парк",0.61,0.61,0.94,0.72,0.56,0.5,0.94,0,0,1,0,0,0,0,"pp",2
81,3,17,"парк-выставка",0.67,0.56,0.44,0.61,0.5,0.61,0.67,0,0,0,0,0,0,1,"none",2
82,3,18,"микрозаказник",0.56,0.28,0.5,0.78,0.56,0.67,0.78,0,0,0,1,0,0,0,"zak",3
